#{"t_start": 1631274958.9852774, "env_id": null}
r,l,t
-0.904762,5,54.773249
-0.785714,10,54.819126
-0.785714,10,54.872571
1.142857,7,54.904486
1.142857,7,54.935353
1.238095,11,54.982229
1.190476,9,55.016098
1.095238,5,55.03804
1.309524,14,55.095363
1.095238,5,55.118299
1.142857,7,55.305066
1.166667,8,55.337978
1.238095,11,55.38487
-0.785714,10,55.429539
-0.738095,12,55.483396
-0.761905,11,55.53123
-9.738095,12,55.583091
1.238095,11,55.634953
1.261905,12,55.684421
1.285714,13,55.736279
1.142857,7,55.766199
1.261905,12,55.815078
-0.761905,11,55.863901
-0.809524,9,55.908781
1.166667,8,55.949672
1.071429,4,55.972612
1.142857,7,56.01749
1.071429,4,56.045415
1.119048,6,56.081319
1.142857,7,56.12221
1.238095,11,56.174071
-9.738095,12,56.229923
1.309524,14,56.38551
1.214286,10,56.5002
-0.809524,9,56.584972
1.166667,8,56.63085
1.261905,12,56.69069
-9.809524,9,56.978919
1.071429,4,56.998958
-9.666667,15,57.061607
1.214286,10,57.102977
1.238095,11,57.146897
1.095238,5,57.166567
-0.785714,10,57.210687
1.166667,8,57.245631
-0.738095,12,57.300444
1.238095,11,57.356299
1.261905,12,57.420126
1.261905,12,57.476978
-0.904762,5,57.505899
-0.904762,5,57.536812
1.071429,4,57.557758
1.142857,7,57.596654
-0.809524,9,57.649511
1.261905,12,57.707357
-9.738095,12,57.771187
1.119048,6,57.807091
-9.738095,12,57.8779
1.166667,8,57.918792
1.261905,12,57.975639
-0.761905,11,58.103297
1.142857,7,58.187073
1.095238,5,58.277834
1.214286,10,58.355624
-9.714286,13,58.434412
-9.761905,11,58.754595
1.119048,6,58.785475
-0.714286,13,58.85828
1.285714,13,58.925685
1.214286,10,58.975551
1.238095,11,59.034395
-9.690476,14,59.10022
1.214286,10,59.154074
-0.857143,7,59.189978
-0.880952,6,59.222891
-9.666667,15,59.298689
-0.761905,11,59.356533
1.142857,7,59.398422
-0.714286,13,59.465243
1.142857,7,59.501146
