#{"t_start": 1631273319.9714222, "env_id": null}
r,l,t
1.166667,8,448.807709
1.190476,9,448.838951
-0.666667,15,449.057649
1.142857,7,449.088854
-0.690476,14,449.148257
1.309524,14,449.200501
1.285714,13,449.243028
-9.785714,10,449.2899
-0.857143,7,449.320858
-9.761905,11,449.366693
1.190476,9,449.405589
-0.761905,11,449.458481
1.190476,9,449.500938
1.142857,7,449.534849
1.142857,7,449.567613
1.333333,15,449.633437
-9.714286,13,449.686296
1.166667,8,449.724195
-0.785714,10,449.772976
1.095238,5,449.804853
1.238095,11,449.857749
1.285714,13,449.910424
1.095238,5,449.940427
-0.690476,14,450.004222
1.190476,9,450.043119
-9.809524,9,450.08006
-9.809524,9,450.116651
1.285714,13,450.338295
-0.857143,7,450.359008
1.261905,12,450.405872
1.238095,11,450.452736
1.142857,7,450.483978
1.261905,12,450.530843
1.190476,9,450.58072
-9.690476,14,450.637531
-0.833333,8,450.674464
1.190476,9,450.719311
1.309524,14,450.778208
1.238095,11,450.827023
1.309524,14,450.886895
1.166667,8,450.9238
-0.928571,4,450.945706
1.166667,8,450.980645
-0.833333,8,451.016557
1.214286,10,451.057452
-9.738095,12,451.105313
1.190476,9,451.142219
1.214286,10,451.1851
-0.785714,10,451.227952
-0.714286,13,451.282804
-0.833333,8,451.320737
-0.714286,13,451.378548
1.285714,13,451.774393
-0.785714,10,451.828294
1.095238,5,451.843918
-9.714286,13,451.917974
-0.761905,11,451.973826
1.095238,5,452.004708
1.166667,8,452.040414
1.071429,4,452.061798
1.261905,12,452.123771
-0.809524,9,452.170064
-0.904762,5,452.200017
1.166667,8,452.240875
1.285714,13,452.304704
1.238095,11,452.357183
1.214286,10,452.407049
-9.785714,10,452.451646
-0.880952,6,452.481602
1.214286,10,452.526446
-0.761905,11,452.585268
1.142857,7,452.619649
1.166667,8,452.655553
-0.785714,10,452.703425
1.166667,8,452.740326
1.285714,13,452.792248
-0.738095,12,452.849041
-0.809524,9,452.890862
-0.904762,5,452.920677
-0.666667,15,452.988959
-0.833333,8,453.355601
-9.761905,11,453.417434
1.261905,12,453.481265
-9.714286,13,453.543098
-9.666667,15,453.62159
1.214286,10,453.690703
-9.595238,18,453.782458
1.214286,10,453.838308
1.285714,13,453.909119
1.285714,13,453.976938
1.190476,9,454.020822
1.166667,8,454.061712
1.261905,12,454.120554
-9.761905,11,454.174126
-0.761905,11,454.235962
1.095238,5,454.265881
-0.785714,10,454.321731
1.238095,11,454.374595
