,date,reference,paymentDelay,createdAt,identifier,paymentMethod,paye,client,numeroCheque,ID_Produits,id,status
0,2019-10-03T18:30:41.068Z,1000152,2021-08-08T00:17:17.844Z,2019-10-03T18:30:41.068Z,980386559000,check,True,190200,,{38400: 96},1035650,True
0,2019-07-31T21:29:07.068Z,1000101,2021-08-08T00:17:18.143Z,2019-07-31T21:29:07.068Z,510664341000,check,True,189950,,{38400: 96},1035650,True
0,2020-10-08T22:00:00Z,1000377,2020-10-08T22:00:00Z,2020-10-08T11:59:31.231Z,-1029778869000,traite,True,189900,,{},1035650,True
0,2019-09-04T12:39:04.068Z,1000131,2021-08-08T00:17:18.738Z,2019-09-04T12:39:04.068Z,-1052856965000,check,True,189300,,"{38350: 48, 38550: 48}",1035650,True
0,2019-09-20T22:36:00.068Z,1000139,2021-08-08T00:17:19.038Z,2019-09-20T22:36:00.068Z,-1225274160000,check,True,189900,,"{38300: 384, 38600: 720, 38400: 1200}",1035650,True
0,2020-11-30T23:00:00Z,1000416,2021-03-16T23:00:00Z,2020-12-01T13:20:18.468Z,-246501156000,traite,True,188900,,"{38500: 24, 38550: 48, 38300: 24, 38400: 48, 38350: 48}",1035650,True
0,2019-03-31T17:17:12.068Z,1000053,2021-08-08T00:17:19.637Z,2019-03-31T17:17:12.068Z,-1503485982000,check,True,189400,,"{38400: 210, 38350: 48, 38600: 126}",1035650,True
0,2019-02-14T16:40:47.068Z,1000026,2021-08-08T00:17:19.937Z,2019-02-14T16:40:47.068Z,866051383000,check,True,189150,,"{38400: 240, 38550: 240, 38350: 144}",1035650,True
0,2020-03-13T13:46:25.068Z,1000267,2021-08-08T00:17:20.236Z,2020-03-13T13:46:38.068Z,207807863000,check,True,189300,,"{38400: 240, 38600: 70, 38550: 240, 38300: 70}",1035650,True
0,2020-10-29T23:00:00Z,1000398,2021-03-16T23:00:00Z,2020-10-30T10:39:03.754Z,1264453503000,traite,True,188900,,"{38600: 12, 38300: 12, 38550: 24, 38450: 48, 38650: 24, 38400: 24, 38350: 24}",1035650,True
0,2020-02-17T09:06:10.068Z,1000245,2021-08-08T00:17:20.840Z,2020-02-17T09:06:22.068Z,-1764019130000,check,True,189900,,{},1035650,True
0,2020-02-15T11:14:21.068Z,1000243,2021-08-08T00:17:21.140Z,2020-02-15T11:14:21.068Z,-7395402000,check,True,189950,,{38400: 800},1035650,True
0,2019-03-31T17:55:53.068Z,1000057,2021-08-08T00:17:21.442Z,2019-03-31T17:55:53.068Z,232783166000,check,True,189100,,{},1035650,True
0,2019-05-27T09:53:11.068Z,1000074,2021-08-08T00:17:21.741Z,2019-05-27T09:53:11.068Z,1355584489000,check,True,188400,,{38550: 12},1035650,True
0,2020-11-19T23:00:00Z,1000409,2021-08-08T00:17:22.040Z,2020-11-19T11:50:15.074Z,853485281000,check,True,189750,,"{38350: 48, 38550: 48, 38500: 48, 38400: 48}",1035650,True
0,2020-12-03T23:00:00Z,1000418,2021-08-08T00:17:22.642Z,2020-12-03T14:06:18.109Z,85699243000,check,True,189100,,"{38300: 12, 38500: 12, 38400: 48, 38600: 12, 38450: 24}",1035650,True
0,2020-01-03T09:50:13.068Z,1000201,2021-08-08T00:17:22.942Z,2020-01-03T09:50:13.068Z,-325923984000,check,True,189950,,"{38500: 48, 38550: 144, 38400: 240}",1035650,True
0,2020-11-16T23:00:00Z,1000407,2021-08-08T00:17:23.242Z,2020-11-16T16:52:54.765Z,-1670197008000,check,True,188600,1254,{38400: 48},1035650,True
0,2021-02-07T23:00:00Z,1100038,2021-08-08T00:17:23.540Z,2021-02-08T11:34:30.430Z,395737540000,check,True,189400,,"{38600: 96, 38650: 48, 38400: 96, 38450: 48, 38550: 144}",1035650,True
0,2020-01-27T16:18:32.068Z,1000223,2021-08-08T00:17:23.841Z,2020-01-27T16:18:45.068Z,-262548516000,check,True,189950,,{38550: 460},1035650,True
0,2019-01-22T09:11:01.068Z,1000013,2021-08-08T00:17:24.139Z,2019-01-22T09:11:01.068Z,362143863000,check,True,190200,,{38400: 48},1035650,True
0,2019-08-29T21:07:47.068Z,1000123,2021-08-08T00:17:24.438Z,2019-08-29T21:07:47.068Z,-1918376553000,check,True,188450,,"{38350: 12, 38500: 12, 38600: 12, 38400: 12, 38300: 12}",1035650,True
0,2020-10-08T22:00:00Z,1000375,2020-10-08T22:00:00Z,2020-10-08T11:31:14.330Z,1205635541000,traite,True,189750,,"{38600: 36, 38300: 12, 38650: 12, 38400: 48, 38350: 12, 38500: 24, 38450: 60}",1035650,True
0,2020-06-30T08:27:03.068Z,1000315,2021-08-08T00:17:25.041Z,2020-06-30T07:27:19.068Z,1205899230000,check,True,189950,,"{38300: 48, 38650: 144, 38400: 144, 38600: 192, 38350: 144}",1035650,True
